id;nom_lieu_dit;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;source_position;source_nom_voie
74236_yfw1hl;La Vorjon;74170;74236;Saint-Gervais-les-Bains;;;985511.04;6539652.87;6.683527;45.896609;bal;bal
74236_B010;Le Bas de la Gruvaz;74170;74236;Saint-Gervais-les-Bains;;;989833.14;6534304.88;6.735944;45.846676;bal;bal
74236_70oned;Le Berchat;74170;74236;Saint-Gervais-les-Bains;;;987421;6540332.89;6.708544;45.901921;bal;bal
74236_lct3ui;Le Bétasset;74170;74236;Saint-Gervais-les-Bains;;;987702.11;6535171.78;6.70904;45.855378;bal;bal
74236_1bzkkg;Le Bétasset;74170;74236;Saint-Gervais-les-Bains;;;990236.46;6533401.79;6.740584;45.838381;bal;bal
74236_B025;Le Bettey d'en-Bas;74170;74236;Saint-Gervais-les-Bains;;;985961.1;6537281.26;6.687897;45.875087;bal;bal
74236_B026;Le Bettey d'en-Haut;74170;74236;Saint-Gervais-les-Bains;;;985713.87;6537096.4;6.684602;45.873528;bal;bal
74236_B027;Le Bettey Devant;74170;74236;Saint-Gervais-les-Bains;;;985956.86;6537076.29;6.687719;45.873245;bal;bal
74236_vo12df;Le Biollay;74170;74236;Saint-Gervais-les-Bains;;;990190.61;6534803.42;6.740849;45.851008;bal;bal
74236_ngy0ww;Le Biollay;74170;74236;Saint-Gervais-les-Bains;;;988395.86;6536927.73;6.719036;45.870879;bal;bal
74236_B032;Le Biollay - les Mouillées;74170;74236;Saint-Gervais-les-Bains;;;989862.89;6534628.36;6.736524;45.849573;bal;bal
